Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.2268292682927
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,536726344405.489
Belgium,BEL,GNI (current US$),NY.GNP.MKTP.CD,541049419119.999
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.33397006988525
Belgium,BEL,Gini index,SI.POV.GINI,27.2
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.364
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.9951219512195
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2388300000
Belize,BLZ,GNI (current US$),NY.GNP.MKTP.CD,2224796150
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.96499013900757
Belize,BLZ,Gini index,SI.POV.GINI,..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.053
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.577
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,14391686309.033
Benin,BEN,GNI (current US$),NY.GNP.MKTP.CD,14320887673.9726
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.96520113945007
Benin,BEN,Gini index,SI.POV.GINI,..
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.214
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.888
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7423465000
Bermuda,BMU,GNI (current US$),NY.GNP.MKTP.CD,7524540000
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.92679822444916
Bermuda,BMU,Gini index,SI.POV.GINI,..
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.251
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2735683570.28851
Bhutan,BTN,GNI (current US$),NY.GNP.MKTP.CD,2506135794.93877
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.50982761383057
Bhutan,BTN,Gini index,SI.POV.GINI,..
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.72
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.005
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,40895322843.7851
Bolivia,BOL,GNI (current US$),NY.GNP.MKTP.CD,40059428632.4971
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,8.09103965759277
Bolivia,BOL,Gini index,SI.POV.GINI,41.6
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.682
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.82
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20482608755.379
Bosnia and Herzegovina,BIH,GNI (current US$),NY.GNP.MKTP.CD,20448097002.6662
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.04449987411499
Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,..
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15.692
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.394
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,16725908148.5481
Botswana,BWA,GNI (current US$),NY.GNP.MKTP.CD,16776578168.9193
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,8.39899635314941
Botswana,BWA,Gini index,SI.POV.GINI,..
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,20.094
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.167
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1873288205186.45
Brazil,BRA,GNI (current US$),NY.GNP.MKTP.CD,1822994396029.28
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.96346998214722
Brazil,BRA,Gini index,SI.POV.GINI,53.5
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.936
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.809
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
British Virgin Islands,VGB,GNI (current US$),NY.GNP.MKTP.CD,..
British Virgin Islands,VGB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.50096988677979
British Virgin Islands,VGB,Gini index,SI.POV.GINI,..
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.845
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13469235348.2211
Brunei Darussalam,BRN,GNI (current US$),NY.GNP.MKTP.CD,13830321068.3291
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Brunei Darussalam,BRN,Gini index,SI.POV.GINI,..
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.6
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.049
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,68631726289.2794
Bulgaria,BGR,GNI (current US$),NY.GNP.MKTP.CD,66479976532.5396
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.19902992248535
Bulgaria,BGR,Gini index,SI.POV.GINI,40.3
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.23
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.1121951219512
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,16032813503.3707
Burkina Faso,BFA,GNI (current US$),NY.GNP.MKTP.CD,15326465624.9088
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.40713691711426
Burkina Faso,BFA,Gini index,SI.POV.GINI,..
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.56
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.184
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2576518879.82353
Burundi,BDI,GNI (current US$),NY.GNP.MKTP.CD,2583934017.97374
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.34668445587158
Burundi,BDI,Gini index,SI.POV.GINI,..
Burundi,BDI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.18
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2252177133.74705
Cabo Verde,CPV,GNI (current US$),NY.GNP.MKTP.CD,2210013290.2012
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.16529989242554
Cabo Verde,CPV,Gini index,SI.POV.GINI,..
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.29
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.449
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,36685356407.7206
Cambodia,KHM,GNI (current US$),NY.GNP.MKTP.CD,35040667434.0951
Cambodia,KHM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.82565474510193
Cambodia,KHM,Gini index,SI.POV.GINI,..
Cambodia,KHM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,0.499
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.127
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,39667757527.6578
Cameroon,CMR,GNI (current US$),NY.GNP.MKTP.CD,38825035814.2222
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.04739952087402
Cameroon,CMR,Gini index,SI.POV.GINI,..
Cameroon,CMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.695
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1743725183672.52
Canada,CAN,GNI (current US$),NY.GNP.MKTP.CD,1722945761061.66
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.77293014526367
Canada,CAN,Gini index,SI.POV.GINI,31.7
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.69
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.1636585365854
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,5941896607.58643
Cayman Islands,CYM,GNI (current US$),NY.GNP.MKTP.CD,4403860295.44118
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.13670003414154
Cayman Islands,CYM,Gini index,SI.POV.GINI,..
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.052
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2221301351.43918
Central African Republic,CAF,GNI (current US$),NY.GNP.MKTP.CD,2386023468.72084
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.76792073249817
Central African Republic,CAF,Gini index,SI.POV.GINI,..
Central African Republic,CAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,31.53
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,11314951091.7283
Chad,TCD,GNI (current US$),NY.GNP.MKTP.CD,11140998348.157
Chad,TCD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.37245798110962
Chad,TCD,Gini index,SI.POV.GINI,..
Chad,TCD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.993
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,10032440928.3488
Channel Islands,CHI,GNI (current US$),NY.GNP.MKTP.CD,..
Channel Islands,CHI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Channel Islands,CHI,Gini index,SI.POV.GINI,..
Channel Islands,CHI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,278285058719.466
Chile,CHL,GNI (current US$),NY.GNP.MKTP.CD,267848366678.638
Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.62630987167358
Chile,CHL,Gini index,SI.POV.GINI,..
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.493
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.324
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,14279968506271.7
China,CHN,GNI (current US$),NY.GNP.MKTP.CD,14239959159195.7
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.05939483642578
China,CHN,Gini index,SI.POV.GINI,38.2
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.15
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.94
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,323031701192.84
Colombia,COL,GNI (current US$),NY.GNP.MKTP.CD,315981529469.142
Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Colombia,COL,Gini index,SI.POV.GINI,51.3
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.28
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.793
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1195019531.9011
Comoros,COM,GNI (current US$),NY.GNP.MKTP.CD,1200664052.32512
Comoros,COM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Comoros,COM,Gini index,SI.POV.GINI,..
Comoros,COM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,51775829877.2088
"Congo, Dem. Rep.",COD,GNI (current US$),NY.GNP.MKTP.CD,48961721320.9821
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Congo, Dem. Rep.",COD,Gini index,SI.POV.GINI,..
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.242
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,13976637779.9763
"Congo, Rep.",COG,GNI (current US$),NY.GNP.MKTP.CD,12568374440.1643
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.55946898460388
"Congo, Rep.",COG,Gini index,SI.POV.GINI,..
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.152
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,64417670521.3545
Costa Rica,CRI,GNI (current US$),NY.GNP.MKTP.CD,60575320937.0316
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.73808002471924
Costa Rica,CRI,Gini index,SI.POV.GINI,48.2
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.807
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.296
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,60382894697.3557
Cote d'Ivoire,CIV,GNI (current US$),NY.GNP.MKTP.CD,58700458323.6943
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.4130699634552
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,..
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.401
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.274
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,61467582193.6824
Croatia,HRV,GNI (current US$),NY.GNP.MKTP.CD,61266599944.4728
Croatia,HRV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.92007994651794
Croatia,HRV,Gini index,SI.POV.GINI,28.9
Croatia,HRV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.617
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.2243902439024
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,103427600000
Cuba,CUB,GNI (current US$),NY.GNP.MKTP.CD,101873800000
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,9.04696941375732
Cuba,CUB,Gini index,SI.POV.GINI,..
Cuba,CUB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.413
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3026124134.07821
Curacao,CUW,GNI (current US$),NY.GNP.MKTP.CD,3038652569.8324
Curacao,CUW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Curacao,CUW,Gini index,SI.POV.GINI,..
Curacao,CUW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.492
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,26196667099.5303
Cyprus,CYP,GNI (current US$),NY.GNP.MKTP.CD,24793491597.2219
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.21260023117065
Cyprus,CYP,Gini index,SI.POV.GINI,31.2
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.155
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.454
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,256794209028.77
Czechia,CZE,GNI (current US$),NY.GNP.MKTP.CD,237284304854.517
Czechia,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.54246997833252
Czechia,CZE,Gini index,SI.POV.GINI,25.3
